movie_ID,movie_title,duration,color,title_year,country,language,content_rating,budget_USD,gross_USD,net_USD,profitable,director_name,director_top20?,director_facebook?,director_facebook_likes,actor_1_name,actor_top20?,actor_1_facebook?,actor_1_facebook_likes,actor_2_name,actor_top20?,actor_2_facebook?,actor_2_facebook_likes,actor_3_name,actor_top20?,actor_3_facebook?,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook?,movie_facebook_likes;,facenumber_in_poster,num_voted_users,num_user_for_reviews,imdb_score,imdb_top_250
48,Warcraft,123,1,2016,USA,English,PG-13,160000000,46978995,-113021005,0,Duncan Jones,0,0,0,Dominic Cooper,0,1,3000,Callum Rennie,0,1,716,Ruth Negga,0,1,648,5505,1,89000,0,111609,781,7.3,0
49,Pearl Harbor,184,0,2001,USA,English,PG-13,140000000,198539855,58539855,1,Michael Bay,1,0,0,Jennifer Garner,0,1,3000,Jaime King,0,1,961,Mako,0,1,691,5401,0,0,0,254111,1999,6.1,0
50,Transformers,144,1,2007,USA,English,PG-13,150000000,318759914,168759914,1,Michael Bay,1,0,0,Zack Ward,0,1,662,Michael O'Neill,0,1,599,Kevin Dunn,0,1,581,2333,1,8000,0,513158,1782,7.1,0
51,Hancock,102,1,2008,USA,English,PG-13,150000000,227946274,77946274,1,Peter Berg,0,1,532,Will Smith,0,1,10000,Charlize Theron,0,1,9000,Eddie Marsan,0,1,979,21584,0,0,0,343648,590,6.4,0
52,I Am Legend,104,1,2007,USA,English,PG-13,150000000,256386216,106386216,1,Francis Lawrence,0,1,508,Will Smith,0,1,10000,Alice Braga,0,1,1000,Willow Smith,0,1,558,13076,1,11000,0,530870,1413,7.2,0
53,Ratatouille,111,1,2007,USA,English,G,150000000,206435493,56435493,1,Brad Bird,0,1,663,Janeane Garofalo,0,1,1000,John Ratzenberger,0,1,1000,Brian Dennehy,0,1,954,4764,1,10000,0,473887,626,8,0
54,Batman Begins,128,1,2005,USA,English,PG-13,150000000,205343774,55343774,1,Christopher Nolan,0,1,22000,Christian Bale,1,1,23000,Liam Neeson,1,1,14000,Morgan Freeman,1,1,11000,59558,1,15000,0,980946,2685,8.3,1
55,Madagascar: Escape 2 Africa,89,1,2008,USA,English,PG,150000000,179982968,29982968,1,Eric Darnell,0,1,35,Bernie Mac,0,1,1000,Jada Pinkett Smith,0,1,851,Cedric the Entertainer,0,1,436,3285,0,0,0,146019,119,6.7,0
56,X-Men Origins: Wolverine,119,1,2009,USA,English,PG-13,150000000,179883016,29883016,1,Gavin Hood,0,1,151,Hugh Jackman,0,1,20000,Ryan Reynolds,0,1,16000,Dominic Monaghan,0,1,2000,40054,0,0,0,361924,641,6.7,0
57,The Matrix Revolutions,129,1,2003,Australia,English,R,150000000,139259759,-10740241,0,Lana Wachowski,0,0,0,Essie Davis,0,1,309,Collin Chou,0,1,269,Nona Gaye,0,1,233,1062,0,0,0,364948,2121,6.7,0
58,Frozen,102,1,2013,USA,English,PG,150000000,400736600,250736600,1,Chris Buck,0,1,69,Josh Gad,0,1,1000,Maurice LaMarche,0,1,523,Livvy Stubenrauch,0,1,490,2582,1,58000,0,421658,904,7.6,0
59,The Matrix Reloaded,138,1,2003,USA,English,R,150000000,281492479,131492479,1,Lana Wachowski,0,0,0,Steve Bastoni,0,1,234,Daniel Bernhardt,0,1,198,Helmut Bakaitis,0,1,30,534,0,0,0,421818,2789,7.2,0
60,Mad Max: Fury Road,120,1,2015,Australia,English,R,150000000,153629485,3629485,1,George Miller,0,1,750,Tom Hardy,0,1,27000,Charlize Theron,0,1,9000,Zo?? Kravitz,0,1,943,40025,1,191000,0,552503,1588,8.1,1
61,Bolt,96,1,2008,USA,English,PG,150000000,114053579,-35946421,0,Byron Howard,0,1,59,Chlo?? Grace Moretz,0,1,17000,Diedrich Bader,0,1,759,James Lipton,0,1,699,20007,0,0,0,146766,178,6.9,0
62,G-Force,88,1,2009,USA,English,PG,150000000,119420252,-30579748,0,Hoyt Yeatman,0,1,12,Kelli Garner,0,1,730,Piper Mackenzie Harris,0,1,607,Niecy Nash,0,1,182,2217,0,0,0,33042,90,5.1,0
63,Wrath of the Titans,99,1,2012,USA,English,PG-13,150000000,83640426,-66359574,0,Jonathan Liebesman,0,1,473,Liam Neeson,1,1,14000,Edgar Ram?_rez,0,1,897,Lily James,0,1,502,16184,1,19000,0,152826,253,5.8,0
64,Mission: Impossible - Rogue Nation,131,1,2015,China,English,PG-13,150000000,195000874,45000874,1,Christopher McQuarrie,0,1,188,Tom Cruise,1,1,10000,Jeremy Renner,0,1,10000,Sean Harris,0,1,641,21840,1,47000,0,232187,440,7.4,0
65,The Wolfman,119,1,2010,USA,English,R,150000000,61937495,-88062505,0,Joe Johnston,0,1,394,Anthony Hopkins,1,1,12000,Simon Merrells,0,1,490,Art Malik,0,1,162,13071,0,0,0,89442,432,5.8,0
66,Bee Movie,91,1,2007,USA,English,PG,150000000,126597121,-23402879,0,Steve Hickner,0,1,58,Matthew Broderick,0,1,2000,Oprah Winfrey,0,1,852,Rip Torn,0,1,826,6576,0,0,0,105902,206,6.2,0
67,Kung Fu Panda 2,90,1,2011,USA,English,PG,150000000,165230261,15230261,1,Jennifer Yuh Nelson,0,1,90,Angelina Jolie Pitt,0,1,11000,Gary Oldman,0,1,10000,Mike Bell,0,1,15,21015,1,20000,0,182718,209,7.3,0
68,The Last Airbender,103,1,2010,USA,English,PG,150000000,131564731,-18435269,0,M. Night Shyamalan,0,0,0,Seychelle Gabriel,0,1,1000,Noah Ringer,0,1,756,Aasif Mandvi,0,1,346,2857,1,18000,0,118951,1382,4.2,0
69,Mission: Impossible III,124,1,2006,USA,English,PG-13,150000000,133382309,-16617691,0,J.J. Abrams,0,1,14000,Philip Seymour Hoffman,0,1,22000,Tom Cruise,1,1,10000,Eddie Marsan,0,1,979,34817,0,0,0,256695,871,6.9,0
70,Mars Needs Moms,88,1,2011,USA,English,PG,150000000,21379315,-128620685,0,Simon Wells,0,1,25,Elisabeth Harnois,0,1,921,Dan Fogler,0,1,562,Tom Everett Scott,0,1,433,2652,0,0,0,17590,112,5.4,0
71,Flushed Away,85,1,2006,UK,English,PG,149000000,64459316,-84540684,0,David Bowers,0,1,42,Hugh Jackman,0,1,20000,Kate Winslet,0,1,14000,David Suchet,0,1,586,35161,0,0,0,85086,122,6.7,0
72,Madagascar 3: Europe's Most Wanted,93,1,2012,USA,English,PG,145000000,216366733,71366733,1,Eric Darnell,0,1,35,Jada Pinkett Smith,0,1,851,Martin Short,0,1,770,Cedric the Entertainer,0,1,436,2444,1,17000,0,119213,154,6.9,0
73,Die Another Day,133,0,2002,UK,English,PG-13,142000000,160201106,18201106,1,Lee Tamahori,0,1,93,Toby Stephens,0,1,769,Colin Salmon,0,1,766,Rick Yune,0,1,746,2538,0,0,0,169914,1185,6.1,0
74,Armageddon,153,1,1998,USA,English,PG-13,140000000,201573391,61573391,1,Michael Bay,1,0,0,Bruce Willis,1,1,13000,Steve Buscemi,1,1,12000,Will Patton,0,1,537,26029,1,11000,0,322395,1171,6.6,0
75,Kung Fu Panda 3,95,1,2016,USA,English,PG,145000000,143523463,-1476537,0,Alessandro Carloni,0,1,5,J.K. Simmons,1,1,24000,Angelina Jolie Pitt,0,1,11000,Wayne Knight,0,1,967,36095,1,24000,0,64322,145,7.2,0
76,Rise of the Guardians,97,1,2012,USA,English,PG,145000000,103400692,-41599308,0,Peter Ramsey,0,1,52,Hugh Jackman,0,1,20000,Kamil McFadden,0,1,315,Khamani Griffin,0,1,161,20645,1,25000,0,123553,174,7.3,0
77,Exodus: Gods and Kings,150,1,2014,UK,English,PG-13,140000000,65007045,-74992955,0,Ridley Scott,1,0,0,Christian Bale,1,1,23000,Mar?_a Valverde,0,1,893,Ben Mendelsohn,0,1,748,26490,1,51000,0,128682,657,6.1,0
78,Star Trek,127,1,2009,USA,English,PG-13,150000000,257704099,107704099,1,J.J. Abrams,0,1,14000,Chris Hemsworth,0,1,26000,Leonard Nimoy,0,1,12000,Bruce Greenwood,0,1,981,39284,1,19000,0,504419,1559,8,0
79,Spider-Man,121,1,2002,USA,English,PG-13,139000000,403706375,264706375,1,Sam Raimi,1,0,0,J.K. Simmons,1,1,24000,James Franco,0,1,11000,Kirsten Dunst,0,1,4000,40484,1,5000,0,544665,2012,7.3,0
80,Stealth,121,1,2005,USA,English,PG-13,135000000,31704416,-103295584,0,Rob Cohen,0,1,357,Sam Shepard,0,1,820,Joe Morton,0,1,780,Richard Roxburgh,0,1,653,2705,0,0,0,45455,388,5,0
81,Hulk,138,1,2003,USA,English,PG-13,137000000,132122995,-4877005,0,Ang Lee,0,0,0,Kevin Rankin,0,1,820,Regi Davis,0,1,300,Celia Weston,0,1,258,1814,0,0,0,212106,1445,5.7,0
82,Captain America: The First Avenger,124,1,2011,USA,English,PG-13,140000000,176636816,36636816,1,Joe Johnston,0,1,394,Chris Evans,0,1,11000,Dominic Cooper,0,1,3000,Hayley Atwell,0,1,2000,19761,1,46000,0,508818,679,6.9,0
83,Happy Feet 2,100,1,2011,Australia,English,PG,135000000,63992328,-71007672,0,George Miller,0,1,750,Robin Williams,0,1,49000,Brad Pitt,1,1,11000,Common,0,1,988,62644,0,0,0,32399,79,5.9,0
84,The Incredible Hulk,135,1,2008,USA,English,PG-13,150000000,134518390,-15481610,0,Louis Leterrier,0,1,255,Ty Burrell,0,1,3000,Peter Mensah,0,1,1000,William Hurt,0,1,882,5811,0,0,0,326286,643,6.8,0
85,The BFG,117,1,2016,UK,English,PG,140000000,52792307,-87207693,0,Steven Spielberg,1,1,14000,Mark Rylance,0,1,535,Penelope Wilton,0,1,400,Rafe Spall,0,1,358,1950,1,27000,0,12572,106,6.8,0
86,The Revenant,156,1,2015,USA,English,R,135000000,183635922,48635922,1,Alejandro G. I?§??rritu,0,0,0,Leonardo DiCaprio,0,1,29000,Tom Hardy,0,1,27000,Lukas Haas,0,1,733,57108,1,190000,0,406020,1188,8.1,1
87,Turbo,96,1,2013,USA,English,PG,135000000,83024900,-51975100,0,David Soren,0,1,13,Ryan Reynolds,0,1,16000,Snoop Dogg,0,1,881,Ben Schwartz,0,1,463,17416,1,13000,0,62424,90,6.5,0
88,Rango,107,1,2011,USA,English,PG,135000000,123207194,-11792806,0,Gore Verbinski,0,1,563,Johnny Depp,1,1,40000,Ray Winstone,0,1,1000,Stephen Root,0,1,939,43291,1,26000,0,183208,337,7.2,0
89,Penguins of Madagascar,92,1,2014,USA,English,PG,132000000,83348920,-48651080,0,Eric Darnell,0,1,35,Benedict Cumberbatch,0,1,19000,Annet Mahendru,0,1,411,Andy Richter,0,1,179,19963,1,11000,0,60230,118,6.7,0
90,The Bourne Ultimatum,115,1,2007,USA,English,PG-13,110000000,227137090,117137090,1,Paul Greengrass,0,1,521,Matt Damon,1,1,13000,Edgar Ram?_rez,0,1,897,Albert Finney,0,1,883,17369,0,0,0,491077,820,8.1,1
91,Kung Fu Panda,92,1,2008,USA,English,PG,130000000,215395021,85395021,1,Mark Osborne,0,1,54,Angelina Jolie Pitt,0,1,11000,Wayne Knight,0,1,967,Dan Fogler,0,1,562,12754,1,6000,0,307029,360,7.6,0
92,Home,94,1,2015,USA,English,PG,135000000,177343675,42343675,1,Tim Johnson,0,1,12,Jim Parsons,0,1,17000,Matt Jones,0,1,523,April Winchell,0,1,183,17883,1,26000,0,70121,214,6.7,0
93,War of the Worlds,116,1,2005,USA,English,PG-13,132000000,234277056,102277056,1,Steven Spielberg,1,1,14000,Tom Cruise,1,1,10000,Lisa Ann Walter,0,1,1000,Rick Gonzalez,0,1,807,12758,0,0,0,334345,2741,6.5,0
94,Puss in Boots,90,1,2011,USA,English,PG,130000000,149234747,19234747,1,Chris Miller,0,1,50,Salma Hayek,0,1,4000,Constance Marie,0,1,442,Amy Sedaris,0,1,397,5046,1,16000,0,114287,137,6.7,0
95,Australia,165,1,2008,Australia,English,PG-13,130000000,49551662,-80448338,0,Baz Luhrmann,0,1,1000,Essie Davis,0,1,309,Bryan Brown,0,1,284,Eddie Baroo,0,1,165,921,0,0,0,102338,450,6.6,0
96,After Earth,100,1,2013,USA,English,PG-13,130000000,60522097,-69477903,0,M. Night Shyamalan,0,0,0,Will Smith,0,1,10000,Zo?? Kravitz,0,1,943,Glenn Morshower,0,1,894,14168,1,37000,0,158720,744,4.9,0
97,Rio 2,101,1,2014,USA,English,G,103000000,131536019,28536019,1,Carlos Saldanha,0,1,107,Miguel Ferrer,0,1,688,Rachel Crow,0,1,237,Jeffrey Garcia,0,1,56,1031,0,0,0,58498,99,6.4,0
98,Clash of the Titans,106,1,2010,USA,English,PG-13,125000000,163192114,38192114,1,Louis Leterrier,0,1,255,Liam Neeson,1,1,14000,Jason Flemyng,0,1,1000,Alexa Davalos,0,1,850,18003,1,15000,0,229679,637,5.8,0
99,Total Recall,113,1,1990,USA,English,R,65000000,119412921,54412921,1,Paul Verhoeven,0,1,719,Ronny Cox,0,1,605,Rachel Ticotin,0,1,308,Marshall Bell,0,1,217,1441,0,0,0,240241,391,7.5,0
100,The Bourne Legacy,135,1,2012,USA,English,PG-13,125000000,113165635,-11834365,0,Tony Gilroy,0,1,209,Jeremy Renner,0,1,10000,Scott Glenn,0,1,826,Stacy Keach,0,1,602,12175,1,31000,0,229823,504,6.7,0
101,How the Grinch Stole Christmas,110,1,2000,USA,English,PG,123000000,260031035,137031035,1,Ron Howard,1,1,2000,Clint Howard,0,1,1000,T.J. Thyne,0,1,722,Molly Shannon,0,1,636,4146,0,0,0,141414,482,6,0
102,The Day After Tomorrow,124,1,2004,USA,English,PG-13,125000000,186739919,61739919,1,Roland Emmerich,0,1,776,Jake Gyllenhaal,0,1,15000,Dennis Quaid,0,1,2000,Sela Ward,0,1,812,20553,1,19000,0,333248,1159,6.4,0
103,Mission: Impossible II,123,1,2000,USA,English,PG-13,125000000,215397307,90397307,1,John Woo,0,1,610,Tom Cruise,1,1,10000,Dougray Scott,0,1,794,Richard Roxburgh,0,1,653,11930,0,0,0,242188,1426,6.1,0
104,The Perfect Storm,130,1,2000,USA,English,PG-13,140000000,182618434,42618434,1,Wolfgang Petersen,0,1,249,Karen Allen,0,1,784,Mary Elizabeth Mastrantonio,0,1,638,Bob Gunton,0,1,461,2684,0,0,0,133076,779,6.4,0
105,Life of Pi,127,1,2012,USA,English,PG,120000000,124976634,4976634,1,Ang Lee,0,0,0,Suraj Sharma,0,1,774,Rafe Spall,0,1,358,Tabu,0,1,341,2121,1,122000,0,440084,755,8,0
106,Jason Bourne,123,1,2016,UK,English,PG-13,120000000,108521835,-11478165,0,Paul Greengrass,0,1,521,Matt Damon,1,1,13000,Riz Ahmed,0,1,365,Ato Essandoh,0,1,265,13752,1,31000,0,40123,297,7.1,0
107,Charlie's Angels: Full Throttle,107,1,2003,USA,English,PG-13,120000000,100685880,-19314120,0,McG,0,1,368,Demi Moore,0,1,2000,Bernie Mac,0,1,1000,Justin Theroux,0,1,1000,4046,0,0,0,100821,554,4.8,0
108,Prometheus,124,1,2012,USA,English,R,130000000,126464904,-3535096,0,Ridley Scott,1,0,0,Michael Fassbender,0,1,13000,Charlize Theron,0,1,9000,Sean Harris,0,1,641,24098,1,97000,0,456260,2326,7,0
109,Stuart Little 2,77,1,2002,USA,English,PG,120000000,64736114,-55263886,0,Rob Minkoff,0,1,50,Nathan Lane,0,1,886,Brad Garrett,0,1,799,Melanie Griffith,0,1,537,2682,1,459,0,36471,69,5.4,0
110,Elysium,109,1,2013,USA,English,R,115000000,93050117,-21949883,0,Neill Blomkamp,0,1,662,Matt Damon,1,1,13000,Sharlto Copley,0,1,2000,Alice Braga,0,1,1000,17689,1,61000,0,338087,814,6.6,0
